,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
1,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
2,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
3,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
4,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
5,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
6,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
7,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
8,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
9,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
10,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
11,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
12,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
13,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
14,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
15,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
16,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
17,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
18,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
19,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
20,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
21,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
22,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-3.0,-1.0
23,5.0,25.0,1.0,1.0,-1.0,0.0,0.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-2.0,-1.0
24,5.0,25.0,1.0,1.0,-1.0,0.0,1.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-2.0,-1.0
25,5.0,25.0,1.0,1.0,-1.0,1.0,1.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-2.0,-1.0
26,5.0,25.0,1.0,1.0,-1.0,1.0,1.0,6.0,30.0,-7.0,2.0,6.0,2.0,10.0,12.0,12.0,14.0,-2.0,-1.0
27,5.0,25.0,1.0,1.0,-1.0,1.0,1.0,6.0,31.0,-7.0,3.0,6.0,2.0,11.0,12.0,12.0,14.0,-2.0,-1.0
28,5.0,26.0,1.0,2.0,-1.0,2.0,1.0,6.0,31.0,-7.0,3.0,7.0,2.0,11.0,12.0,13.0,15.0,-1.0,-1.0
29,5.0,26.0,1.0,2.0,-1.0,2.0,2.0,7.0,32.0,-7.0,3.0,7.0,3.0,12.0,12.0,13.0,16.0,0.0,-1.0
30,5.0,27.0,1.0,2.0,-1.0,3.0,3.0,7.0,33.0,-7.0,4.0,7.0,3.0,13.0,12.0,14.0,17.0,1.0,-1.0
31,6.0,28.0,1.0,2.0,-1.0,5.0,4.0,7.0,34.0,-7.0,4.0,8.0,3.0,15.0,12.0,15.0,18.0,3.0,-1.0
32,6.0,30.0,1.0,3.0,0.0,7.0,5.0,7.0,36.0,-7.0,5.0,9.0,4.0,17.0,13.0,17.0,20.0,5.0,-1.0
33,6.0,32.0,1.0,3.0,0.0,9.0,7.0,7.0,38.0,-6.0,6.0,9.0,5.0,20.0,13.0,19.0,22.0,7.0,-1.0
34,7.0,35.0,1.0,4.0,0.0,12.0,10.0,8.0,41.0,-6.0,7.0,11.0,5.0,24.0,13.0,21.0,26.0,11.0,-1.0
35,8.0,38.0,1.0,5.0,1.0,16.0,13.0,8.0,44.0,-5.0,9.0,12.0,7.0,29.0,13.0,24.0,29.0,15.0,-1.0
36,9.0,42.0,2.0,6.0,1.0,20.0,17.0,9.0,48.0,-4.0,10.0,14.0,8.0,35.0,13.0,28.0,34.0,20.0,0.0
37,10.0,47.0,2.0,8.0,2.0,25.0,22.0,10.0,53.0,-3.0,12.0,16.0,9.0,41.0,13.0,32.0,39.0,25.0,0.0
38,11.0,52.0,2.0,10.0,2.0,31.0,27.0,11.0,58.0,-2.0,15.0,19.0,10.0,49.0,13.0,36.0,45.0,32.0,1.0
39,13.0,59.0,2.0,13.0,3.0,40.0,34.0,12.0,65.0,-1.0,18.0,23.0,11.0,60.0,13.0,43.0,53.0,41.0,2.0
40,16.0,68.0,3.0,17.0,4.0,50.0,44.0,14.0,73.0,1.0,22.0,28.0,12.0,74.0,12.0,51.0,63.0,53.0,3.0
41,19.0,80.0,4.0,22.0,5.0,64.0,56.0,17.0,84.0,3.0,27.0,35.0,13.0,92.0,12.0,61.0,76.0,69.0,6.0
42,24.0,94.0,5.0,29.0,6.0,82.0,71.0,20.0,96.0,5.0,33.0,43.0,14.0,116.0,12.0,73.0,92.0,89.0,10.0
43,30.0,110.0,7.0,38.0,7.0,103.0,90.0,25.0,110.0,9.0,40.0,54.0,13.0,145.0,11.0,88.0,111.0,114.0,15.0
44,36.0,127.0,9.0,48.0,9.0,126.0,110.0,31.0,125.0,12.0,48.0,65.0,11.0,176.0,11.0,103.0,131.0,142.0,21.0
45,43.0,144.0,12.0,60.0,11.0,151.0,135.0,38.0,141.0,17.0,56.0,77.0,9.0,211.0,11.0,121.0,153.0,174.0,29.0
46,51.0,163.0,17.0,74.0,16.0,179.0,166.0,47.0,160.0,25.0,66.0,90.0,7.0,250.0,14.0,143.0,178.0,213.0,40.0
47,59.0,180.0,23.0,88.0,22.0,208.0,202.0,55.0,181.0,36.0,77.0,103.0,9.0,288.0,19.0,167.0,202.0,256.0,52.0
48,66.0,192.0,30.0,102.0,31.0,236.0,241.0,62.0,202.0,51.0,89.0,112.0,15.0,321.0,28.0,194.0,224.0,299.0,63.0
49,72.0,198.0,37.0,114.0,42.0,260.0,279.0,66.0,221.0,68.0,99.0,116.0,25.0,345.0,39.0,220.0,240.0,338.0,72.0
50,76.0,200.0,43.0,123.0,52.0,279.0,310.0,66.0,236.0,84.0,108.0,116.0,35.0,360.0,51.0,243.0,251.0,370.0,78.0
