,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.5899492502212524,0.5899492502212524,0.4424077272415161,0.4424076974391937
1,0.3932265639305115,0.3932265639305115,0.3525357246398926,0.3525356948375702
2,0.3241633474826813,0.3241633176803589,0.2903158366680145,0.2903158366680145
3,0.2663078308105469,0.2663078308105469,0.2352115511894226,0.2352115362882614
4,0.21698223054409027,0.21698221564292908,0.19441945850849152,0.1944194883108139
5,0.18198241293430328,0.18198241293430328,0.16305556893348694,0.16305555403232574
6,0.15326356887817383,0.15326359868049622,0.1402679830789566,0.1402679681777954
7,0.13415493071079254,0.13415494561195374,0.12664908170700073,0.12664908170700073
8,0.11828416585922241,0.11828417330980301,0.11018551141023636,0.11018552631139755
9,0.10812307894229889,0.10812307894229889,0.10258825868368149,0.10258825123310089
10,0.097835011780262,0.0978350043296814,0.09188223630189896,0.09188223630189896
11,0.08938973397016525,0.08938974887132645,0.08309131860733032,0.08309131115674973
12,0.08474335074424744,0.08474335074424744,0.0811651274561882,0.0811651200056076
13,0.0817011222243309,0.0817011147737503,0.07629553973674774,0.07629553973674774
14,0.07984666526317596,0.07984666526317596,0.07732666283845901,0.07732666283845901
15,0.07244917750358582,0.07244917005300522,0.06960193812847137,0.06960193812847137
16,0.06857149302959442,0.06857150048017502,0.06792944669723511,0.06792944669723511
17,0.0645076110959053,0.0645076110959053,0.06086721643805504,0.06086721271276474
18,0.06247788667678833,0.06247788295149803,0.0605730377137661,0.0605730265378952
19,0.06172085180878639,0.061720848083496094,0.06025951728224754,0.060259509831666946
20,0.0617329366505146,0.0617329403758049,0.06069747358560562,0.06069747731089592
21,0.06179662421345711,0.06179661303758621,0.06430137902498245,0.06430138647556305
