,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
378,154.0,170.0,192.0,122.0,257.0,154.0,105.0,98.0,204.0,62.0,131.0,74.0,87.0,255.0,354.0,107.0,212.0,87.0,100.0
379,147.0,167.0,187.0,119.0,253.0,149.0,102.0,101.0,202.0,58.0,124.0,71.0,85.0,249.0,358.0,107.0,207.0,88.0,93.0
380,138.0,163.0,183.0,114.0,248.0,141.0,97.0,102.0,198.0,52.0,118.0,66.0,84.0,242.0,361.0,105.0,200.0,85.0,84.0
381,133.0,159.0,179.0,110.0,247.0,134.0,93.0,104.0,194.0,49.0,111.0,62.0,83.0,234.0,366.0,104.0,195.0,82.0,77.0
382,129.0,156.0,175.0,105.0,246.0,127.0,89.0,106.0,190.0,46.0,105.0,58.0,82.0,228.0,370.0,103.0,190.0,79.0,71.0
383,126.0,153.0,172.0,101.0,246.0,121.0,86.0,107.0,188.0,44.0,100.0,54.0,81.0,222.0,375.0,103.0,186.0,76.0,65.0
384,124.0,150.0,169.0,98.0,247.0,115.0,84.0,109.0,185.0,43.0,94.0,51.0,80.0,216.0,380.0,103.0,182.0,73.0,60.0
385,123.0,148.0,168.0,96.0,248.0,112.0,82.0,111.0,185.0,43.0,91.0,48.0,79.0,214.0,385.0,106.0,180.0,72.0,57.0
386,124.0,147.0,167.0,95.0,250.0,110.0,82.0,113.0,185.0,44.0,88.0,47.0,78.0,213.0,391.0,111.0,179.0,73.0,55.0
387,123.0,144.0,165.0,93.0,251.0,107.0,80.0,114.0,183.0,44.0,85.0,44.0,75.0,210.0,393.0,112.0,177.0,71.0,52.0
388,122.0,140.0,164.0,91.0,251.0,103.0,78.0,115.0,181.0,44.0,82.0,42.0,73.0,207.0,394.0,112.0,174.0,67.0,49.0
389,122.0,137.0,162.0,89.0,251.0,100.0,76.0,115.0,180.0,46.0,80.0,40.0,71.0,204.0,395.0,114.0,172.0,64.0,47.0
390,122.0,134.0,161.0,88.0,252.0,97.0,75.0,116.0,178.0,48.0,78.0,39.0,69.0,203.0,397.0,116.0,171.0,62.0,45.0
391,121.0,130.0,159.0,87.0,250.0,96.0,73.0,117.0,178.0,48.0,76.0,38.0,67.0,203.0,397.0,119.0,170.0,59.0,41.0
392,121.0,129.0,159.0,87.0,250.0,96.0,74.0,118.0,179.0,51.0,75.0,38.0,65.0,204.0,400.0,124.0,170.0,60.0,41.0
393,122.0,128.0,158.0,88.0,251.0,97.0,74.0,119.0,181.0,53.0,75.0,39.0,64.0,207.0,402.0,130.0,172.0,62.0,40.0
394,119.0,123.0,157.0,87.0,246.0,97.0,73.0,119.0,180.0,52.0,75.0,39.0,61.0,209.0,401.0,132.0,172.0,60.0,37.0
395,118.0,120.0,155.0,87.0,243.0,96.0,72.0,120.0,181.0,53.0,75.0,40.0,59.0,211.0,400.0,135.0,172.0,58.0,35.0
396,117.0,118.0,154.0,86.0,240.0,96.0,72.0,120.0,182.0,54.0,75.0,41.0,58.0,213.0,401.0,140.0,172.0,57.0,35.0
397,118.0,117.0,154.0,86.0,239.0,96.0,73.0,121.0,183.0,57.0,75.0,42.0,57.0,215.0,401.0,145.0,172.0,58.0,36.0
398,120.0,117.0,154.0,87.0,239.0,96.0,75.0,122.0,184.0,61.0,75.0,43.0,57.0,218.0,402.0,150.0,173.0,60.0,37.0
399,122.0,120.0,153.0,89.0,244.0,99.0,79.0,130.0,191.0,66.0,73.0,50.0,58.0,222.0,417.0,167.0,178.0,67.0,33.0
400,126.0,124.0,152.0,91.0,250.0,101.0,82.0,138.0,197.0,72.0,70.0,55.0,59.0,227.0,432.0,185.0,185.0,75.0,30.0
401,129.0,125.0,151.0,93.0,254.0,101.0,83.0,144.0,201.0,77.0,68.0,60.0,58.0,232.0,444.0,200.0,192.0,81.0,24.0
402,132.0,125.0,149.0,95.0,258.0,101.0,84.0,151.0,204.0,81.0,66.0,63.0,56.0,236.0,454.0,214.0,199.0,87.0,18.0
403,136.0,126.0,148.0,96.0,261.0,102.0,85.0,157.0,207.0,84.0,64.0,66.0,53.0,240.0,462.0,228.0,207.0,95.0,13.0
404,139.0,126.0,147.0,98.0,265.0,104.0,87.0,162.0,210.0,88.0,63.0,69.0,51.0,244.0,467.0,242.0,216.0,104.0,8.0
405,142.0,125.0,145.0,99.0,267.0,106.0,89.0,168.0,212.0,91.0,61.0,70.0,49.0,248.0,470.0,255.0,225.0,114.0,3.0
406,145.0,125.0,143.0,101.0,270.0,111.0,92.0,173.0,213.0,95.0,61.0,71.0,49.0,253.0,469.0,267.0,233.0,126.0,1.0
407,147.0,122.0,141.0,102.0,271.0,117.0,96.0,177.0,213.0,99.0,60.0,72.0,48.0,257.0,466.0,278.0,241.0,138.0,-2.0
408,147.0,118.0,139.0,104.0,272.0,122.0,98.0,181.0,210.0,104.0,59.0,72.0,48.0,259.0,460.0,285.0,247.0,147.0,-7.0
409,152.0,123.0,140.0,106.0,276.0,119.0,104.0,180.0,207.0,104.0,60.0,68.0,49.0,266.0,459.0,290.0,251.0,150.0,3.0
410,154.0,130.0,141.0,109.0,279.0,124.0,110.0,178.0,208.0,104.0,61.0,66.0,54.0,271.0,461.0,297.0,254.0,157.0,12.0
411,156.0,135.0,141.0,112.0,283.0,129.0,117.0,178.0,209.0,107.0,63.0,65.0,59.0,275.0,464.0,304.0,257.0,167.0,19.0
412,157.0,138.0,141.0,115.0,286.0,134.0,124.0,179.0,210.0,109.0,64.0,65.0,63.0,278.0,466.0,310.0,260.0,177.0,23.0
413,157.0,139.0,141.0,117.0,289.0,139.0,130.0,181.0,210.0,111.0,66.0,66.0,67.0,280.0,468.0,316.0,262.0,187.0,25.0
414,158.0,140.0,140.0,118.0,292.0,145.0,136.0,183.0,211.0,114.0,67.0,66.0,71.0,281.0,469.0,321.0,265.0,197.0,27.0
415,159.0,138.0,138.0,118.0,295.0,148.0,140.0,185.0,210.0,117.0,68.0,66.0,74.0,281.0,469.0,325.0,267.0,204.0,24.0
416,160.0,135.0,136.0,118.0,299.0,152.0,142.0,187.0,208.0,120.0,68.0,65.0,76.0,281.0,467.0,326.0,269.0,210.0,20.0
417,161.0,132.0,133.0,117.0,303.0,156.0,145.0,190.0,205.0,124.0,70.0,63.0,79.0,282.0,463.0,328.0,270.0,215.0,15.0
418,161.0,127.0,130.0,115.0,307.0,161.0,146.0,193.0,200.0,127.0,71.0,62.0,82.0,284.0,458.0,328.0,270.0,219.0,9.0
419,167.0,135.0,130.0,117.0,314.0,152.0,150.0,190.0,197.0,126.0,69.0,55.0,82.0,290.0,458.0,331.0,271.0,216.0,13.0
