,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
1,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
2,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
3,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
4,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
5,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
6,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
7,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
8,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
9,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
10,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
11,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
12,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
13,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
14,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
15,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
16,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
17,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
18,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
19,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
20,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
21,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
22,7.0,-5.0,6.0,1.0,7.0,-5.0,-6.0,6.0,20.0,9.0,-1.0,1.0,4.0,4.0,5.0,12.0,-2.0,-7.0,-1.0
