,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
1,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
2,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
3,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
4,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
5,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
6,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
7,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
8,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
9,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
10,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
11,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
12,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
13,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
14,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,2.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
15,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,3.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
16,-2.0,0.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,3.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
17,-2.0,1.0,1.0,2.0,5.0,10.0,14.0,0.0,4.0,3.0,1.0,3.0,3.0,7.0,0.0,10.0,12.0,0.0,-6.0
18,-2.0,1.0,1.0,2.0,5.0,10.0,15.0,0.0,4.0,3.0,1.0,3.0,4.0,8.0,0.0,11.0,12.0,1.0,-6.0
19,-2.0,1.0,1.0,3.0,5.0,10.0,15.0,0.0,5.0,4.0,1.0,3.0,4.0,8.0,0.0,11.0,13.0,1.0,-6.0
20,-2.0,1.0,1.0,3.0,5.0,11.0,16.0,0.0,5.0,4.0,1.0,3.0,4.0,9.0,-1.0,12.0,13.0,3.0,-6.0
21,-1.0,2.0,2.0,4.0,5.0,13.0,17.0,1.0,7.0,5.0,2.0,4.0,4.0,11.0,-1.0,13.0,14.0,6.0,-5.0
22,-1.0,3.0,3.0,6.0,5.0,15.0,18.0,1.0,9.0,6.0,3.0,5.0,5.0,13.0,-2.0,15.0,16.0,10.0,-5.0
23,0.0,5.0,4.0,8.0,5.0,17.0,20.0,2.0,11.0,7.0,4.0,6.0,5.0,16.0,-3.0,17.0,18.0,15.0,-5.0
24,1.0,7.0,5.0,10.0,5.0,21.0,23.0,3.0,15.0,9.0,5.0,8.0,6.0,20.0,-4.0,20.0,20.0,21.0,-5.0
25,2.0,9.0,7.0,14.0,5.0,25.0,26.0,4.0,19.0,11.0,7.0,10.0,7.0,26.0,-5.0,25.0,24.0,30.0,-4.0
26,4.0,12.0,9.0,18.0,6.0,31.0,31.0,5.0,25.0,14.0,9.0,13.0,8.0,32.0,-6.0,30.0,28.0,40.0,-3.0
27,6.0,16.0,11.0,23.0,6.0,39.0,37.0,7.0,32.0,17.0,12.0,16.0,9.0,41.0,-7.0,37.0,34.0,54.0,-3.0
28,8.0,21.0,15.0,29.0,7.0,49.0,45.0,10.0,41.0,21.0,16.0,19.0,11.0,52.0,-8.0,46.0,40.0,70.0,-1.0
29,11.0,26.0,18.0,35.0,8.0,60.0,54.0,12.0,51.0,26.0,20.0,23.0,13.0,64.0,-8.0,56.0,48.0,88.0,0.0
30,14.0,32.0,22.0,42.0,10.0,72.0,64.0,15.0,62.0,32.0,25.0,27.0,15.0,78.0,-8.0,67.0,56.0,108.0,2.0
31,18.0,39.0,27.0,50.0,12.0,86.0,76.0,18.0,75.0,38.0,31.0,31.0,18.0,94.0,-7.0,80.0,66.0,131.0,4.0
32,23.0,48.0,33.0,61.0,14.0,104.0,92.0,22.0,92.0,46.0,38.0,37.0,20.0,114.0,-5.0,97.0,77.0,159.0,7.0
33,28.0,59.0,39.0,72.0,18.0,123.0,111.0,27.0,111.0,55.0,48.0,43.0,24.0,138.0,-4.0,115.0,91.0,192.0,11.0
34,36.0,73.0,47.0,86.0,21.0,144.0,134.0,31.0,132.0,66.0,58.0,49.0,28.0,165.0,-1.0,137.0,107.0,228.0,17.0
