,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,25.0,46.0,16.0,19.0,47.0,51.0,42.0,17.0,66.0,26.0,15.0,7.0,21.0,50.0,36.0,36.0,47.0,26.0,9.0
1,22.0,43.0,14.0,17.0,43.0,48.0,41.0,15.0,63.0,24.0,13.0,7.0,19.0,46.0,32.0,34.0,44.0,24.0,8.0
2,19.0,41.0,12.0,15.0,41.0,46.0,40.0,13.0,59.0,22.0,12.0,7.0,18.0,42.0,28.0,32.0,41.0,22.0,7.0
3,16.0,39.0,11.0,13.0,38.0,44.0,39.0,12.0,56.0,20.0,11.0,7.0,17.0,39.0,25.0,31.0,38.0,20.0,6.0
4,14.0,37.0,10.0,12.0,36.0,42.0,38.0,11.0,54.0,19.0,10.0,7.0,16.0,36.0,22.0,30.0,36.0,19.0,5.0
5,13.0,35.0,10.0,11.0,35.0,40.0,38.0,10.0,52.0,17.0,10.0,7.0,15.0,34.0,20.0,29.0,34.0,18.0,4.0
6,12.0,33.0,9.0,10.0,33.0,39.0,37.0,9.0,50.0,16.0,9.0,7.0,15.0,32.0,19.0,28.0,33.0,17.0,3.0
7,10.0,32.0,8.0,9.0,32.0,38.0,37.0,8.0,49.0,15.0,8.0,7.0,14.0,30.0,17.0,27.0,31.0,16.0,3.0
8,9.0,31.0,8.0,9.0,31.0,36.0,36.0,8.0,47.0,14.0,8.0,7.0,13.0,29.0,16.0,27.0,30.0,15.0,2.0
9,9.0,30.0,7.0,8.0,30.0,35.0,36.0,7.0,46.0,14.0,8.0,7.0,13.0,27.0,15.0,26.0,29.0,15.0,1.0
10,8.0,29.0,7.0,7.0,30.0,35.0,36.0,7.0,45.0,13.0,7.0,7.0,13.0,26.0,14.0,26.0,28.0,14.0,1.0
11,7.0,28.0,7.0,7.0,29.0,34.0,36.0,6.0,44.0,13.0,7.0,7.0,12.0,26.0,13.0,25.0,27.0,14.0,1.0
12,7.0,28.0,7.0,7.0,29.0,33.0,36.0,6.0,44.0,12.0,7.0,7.0,12.0,25.0,13.0,25.0,27.0,13.0,0.0
13,7.0,27.0,6.0,6.0,28.0,33.0,35.0,6.0,43.0,12.0,6.0,7.0,12.0,24.0,12.0,25.0,26.0,13.0,0.0
14,6.0,27.0,6.0,6.0,28.0,32.0,35.0,6.0,43.0,11.0,6.0,8.0,12.0,23.0,12.0,24.0,26.0,13.0,0.0
15,6.0,26.0,6.0,6.0,27.0,32.0,35.0,5.0,42.0,11.0,6.0,8.0,12.0,23.0,11.0,24.0,25.0,12.0,-1.0
16,6.0,26.0,6.0,6.0,27.0,32.0,35.0,5.0,42.0,11.0,6.0,8.0,11.0,22.0,11.0,24.0,25.0,12.0,-1.0
